topic,term,weight
000,phone,0.029432565
000,iphone,0.031356234
000,samsung,0.006930572
000,screen,0.0051210397
000,battery,0.005282859
000,iphones,0.0051504592
000,unlock,0.003270269
000,call,0.004668623
000,device,0.0064933673
000,tell,0.0035984933
001,datum,0.029699173
001,center,0.014230808
001,privacy,0.0074058925
001,plan,0.00812728
001,icloud,0.0068348837
001,china,0.006441726
001,chinese,0.0053027095
001,company,0.009589139
001,energy,0.0038860273
001,law,0.003648596
002,service,0.03314565
002,subscription,0.017994547
002,news,0.016964905
002,apple,0.059001643
002,app,0.014381902
002,content,0.008536818
002,tv,0.008596221
002,month,0.008637502
002,magazine,0.0067884033
002,launch,0.00837491
003,app,0.036477745
003,facebook,0.019044925
003,google,0.011755114
003,user,0.011098632
003,datum,0.008027118
003,employee,0.006271245
003,developer,0.0065329997
003,privacy,0.0059403325
003,ios,0.0071756584
003,business,0.006340543
004,china,0.039686847
004,chinese,0.01883809
004,app,0.01577695
004,cook,0.012304171
004,market,0.011608414
004,year,0.013655216
004,sale,0.0088035865
004,quarter,0.006673481
004,country,0.006444113
004,government,0.006202812
005,datum,0.033606477
005,privacy,0.02014731
005,user,0.019877033
005,facebook,0.012869555
005,cook,0.012072049
005,app,0.010392664
005,company,0.011818886
005,information,0.0064379675
005,collect,0.0054100216
005,google,0.005390637
006,billion,0.037535522
006,quarter,0.03306978
006,revenue,0.033034638
006,year,0.034746848
006,sale,0.022717027
006,percent,0.016912613
006,iphone,0.0229549
006,service,0.015600282
006,analyst,0.01178686
006,expect,0.011592397
007,million,0.02758164
007,quarter,0.020609913
007,iphone,0.028270395
007,sell,0.01937082
007,sale,0.016696254
007,iphones,0.013355174
007,report,0.014696181
007,revenue,0.010694079
007,unit,0.009890696
007,year,0.014016102
008,stock,0.03179532
008,percent,0.027049035
008,share,0.022463756
008,trade,0.01875191
008,high,0.016105575
008,market,0.014573259
008,earnings,0.009115924
008,year,0.0131485425
008,investor,0.007847168
008,time,0.0102334535
009,service,0.018074727
009,icloud,0.01517701
009,photo,0.011632705
009,user,0.012527401
009,app,0.012172356
009,datum,0.009305597
009,issue,0.007768533
009,account,0.0072203837
009,storage,0.0072023906
009,google,0.0075281872
010,month,0.015389817
010,plan,0.01342948
010,price,0.011111605
010,storage,0.009226989
010,offer,0.00963169
010,free,0.008351743
010,icloud,0.008072956
010,cost,0.006670695
010,pay,0.007338036
010,customer,0.0061703557
011,job,0.017696017
011,company,0.02250189
011,billion,0.017623598
011,u.s,0.016383085
011,million,0.012237318
011,manufacture,0.010968542
011,cook,0.011755655
011,state,0.008464068
011,year,0.012642003
011,create,0.0072736335
012,developer,0.031785335
012,app,0.026752487
012,conference,0.012655472
012,wwdc,0.01161729
012,san,0.008143615
012,june,0.0071104094
012,ios,0.008946638
012,event,0.007610646
012,siri,0.0069481176
012,announce,0.007860805
013,percent,0.051206153
013,year,0.023001969
013,employee,0.010170791
013,report,0.013453937
013,share,0.0097320955
013,stock,0.008554195
013,company,0.013517161
013,u.s,0.008623427
013,fall,0.0069769984
013,sale,0.007653678
014,issue,0.0186234
014,battery,0.015531967
014,affect,0.013927248
014,macbook,0.012204941
014,device,0.0117484685
014,numb,0.008033927
014,recall,0.007344614
014,sell,0.0085695535
014,mac,0.0076564783
014,adapter,0.0066349087
015,billion,0.035747856
015,cash,0.019618487
015,company,0.022816945
015,u.s,0.016669828
015,tax,0.012800375
015,quarter,0.011975165
015,share,0.008973159
015,report,0.011693073
015,earnings,0.007758486
015,plan,0.008907316
016,inch,0.042541765
016,iphone,0.03820747
016,screen,0.020094397
016,model,0.018432507
016,display,0.015873158
016,kuo,0.014781676
016,ipad,0.014911423
016,macbook,0.01458237
016,rumor,0.008515219
016,launch,0.009424641
017,show,0.03676527
017,series,0.025232108
017,tv,0.024421653
017,original,0.0122740315
017,morning,0.009331449
017,star,0.0091891
017,content,0.010036775
017,stream,0.008755915
017,episode,0.00717583
017,witherspoon,0.0067280564
018,event,0.034334008
018,iphone,0.02488994
018,live,0.012099208
018,expect,0.0122446725
018,update,0.014173068
018,apple,0.058017675
018,ipad,0.011112593
018,unveil,0.006987347
018,watch,0.009263698
018,hold,0.0067607877
019,design,0.028417962
019,product,0.012395305
019,ive,0.0091038365
019,chip,0.008414743
019,apple’s,0.00923878
019,year,0.010853289
019,team,0.006310406
019,book,0.0061400915
019,samsung,0.0065995404
019,work,0.007495531
020,music,0.06896318
020,service,0.02789016
020,million,0.024788216
020,apple,0.07132414
020,spotify,0.021728251
020,stream,0.019310692
020,subscriber,0.017092997
020,pay,0.013528226
020,user,0.010706649
020,month,0.009031998
021,request,0.022829486
021,report,0.024641681
021,government,0.01589568
021,security,0.014387522
021,datum,0.012105251
021,respond,0.0075163906
021,law,0.0072796918
021,information,0.0075645563
021,immediately,0.006320537
021,account,0.0065710302
022,macbook,0.028403718
