,Close
0,0.008995482625427877
1,0.008767129830572871
2,0.008855932748007587
3,0.008373862203384866
4,0.009090628202437452
5,0.009414123732608672
6,0.008919365027142875
7,0.008995482625427877
8,0.00862758279484594
9,0.008887648887575232
10,0.009135029661154809
11,0.009028784429889237
12,0.008538779877411225
13,0.00883056210970816
14,0.008970109145435091
15,0.010562218999685121
16,0.00971859128405532
17,0.010327526386948617
18,0.010092830932518754
19,0.009807394201490035
20,0.00971859128405532
21,0.009743961922354747
22,0.010099173592093611
23,0.009648816345345174
24,0.00893205034629259
25,0.009135029661154809
26,0.009674189825337961
27,0.01002305883550197
28,0.00982007952063975
29,0.01103160422515813
30,0.011970380359490863
31,0.011678598127193929
32,0.01141218937488978
33,0.011500992292324496
34,0.011456590833607139
35,0.01113309530343592
36,0.010099173592093611
37,0.011120407142592846
38,0.01086668655113177
39,0.010257751448238473
40,0.010568561659259979
41,0.01004208681422654
42,0.010708108694986911
43,0.01002305883550197
44,0.009458525191326029
45,0.00842460632167708
46,0.008887648887575232
47,0.008691015073981229
48,0.009908882438074466
49,0.010213349989521114
50,0.009629788366620602
51,0.009401438413458958
52,0.009566356087485316
53,0.010359239684822902
54,0.009648816345345174
55,0.010200664670371402
56,0.009927913258492396
57,0.009953283896791825
58,0.009299947335181167
59,0.009014510604152448
60,0.008570496016978868
61,0.008817876790558446
62,0.008513409239111796
63,0.008037678512370573
64,0.007416058090327561
65,0.0077712697600664255
66,0.008259685805957363
67,0.0075873212656221364
68,0.00806305199236336
69,0.007625380064764636
70,0.007561947785629349
71,0.0068768979261444076
72,0.006464599478538472
73,0.00604595552966432
74,0.006236246683683465
75,0.006193430889859823
76,0.006103042307531392
77,0.006223561364533751
78,0.005862007035220031
79,0.006382139220678613
80,0.0067310082308426195
81,0.006604146514265403
82,0.006762721528716905
83,0.007136964018873699
84,0.0069593581840042655
85,0.007054503761013841
86,0.006591458353422329
87,0.006927642044436622
88,0.006515343596830687
89,0.00671197741042469
90,0.006591458353422329
91,0.007143306678448556
92,0.007612691903921564
93,0.00862758279484594
94,0.008247000486807649
95,0.007828356537933496
96,0.008323115243399291
97,0.00784104469877657
98,0.008386547522534581
99,0.0077395536204987805
100,0.007967903573660428
101,0.008158197569372933
102,0.007815671218783782
103,0.007853730017926283
104,0.008386547522534581
105,0.00893205034629259
106,0.008893991547150088
107,0.009287262016031455
108,0.008805188629715372
109,0.009046226743720093
110,0.00917308846029731
111,0.008957423826285378
112,0.008031335852795717
113,0.008526094558261511
114,0.008208941687665148
115,0.007219424276733558
